# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
6.123504e+01	5.744594e-27
6.137620e+01	5.769870e-27
6.151769e+01	5.795190e-27
6.165950e+01	5.820555e-27
6.180164e+01	5.845966e-27
6.194411e+01	5.871422e-27
6.208690e+01	5.898748e-27
6.223003e+01	5.924298e-27
6.237348e+01	5.949895e-27
6.251727e+01	5.977371e-27
6.266139e+01	6.003063e-27
6.280584e+01	6.030641e-27
6.295062e+01	6.056428e-27
6.309573e+01	6.084109e-27
6.324119e+01	6.109993e-27
6.338697e+01	6.137776e-27
6.353309e+01	6.163756e-27
6.367955e+01	6.191644e-27
6.382635e+01	6.219585e-27
6.397348e+01	6.245712e-27
6.412096e+01	6.273757e-27
6.426877e+01	6.301855e-27
6.441693e+01	6.330009e-27
6.456542e+01	6.358217e-27
6.471426e+01	6.384594e-27
6.486344e+01	6.412907e-27
6.501297e+01	6.441275e-27
6.516284e+01	6.469698e-27
6.531306e+01	6.498174e-27
6.546362e+01	6.526707e-27
6.561453e+01	6.555294e-27
6.576578e+01	6.585848e-27
6.591739e+01	6.614550e-27
6.606934e+01	6.643307e-27
6.622165e+01	6.672120e-27
6.637431e+01	6.700989e-27
6.652732e+01	6.731842e-27
6.668068e+01	6.760826e-27
6.683439e+01	6.789866e-27
6.698846e+01	6.820903e-27
6.714289e+01	6.850059e-27
6.729767e+01	6.881221e-27
6.745280e+01	6.910492e-27
6.760830e+01	6.941779e-27
6.776415e+01	6.971169e-27
6.792036e+01	7.002580e-27
6.807694e+01	7.034056e-27
6.823387e+01	7.063624e-27
6.839116e+01	7.095225e-27
6.854882e+01	7.126893e-27
6.870684e+01	7.158624e-27
6.886523e+01	7.190422e-27
6.902398e+01	7.220290e-27
6.918310e+01	7.252215e-27
6.934258e+01	7.284205e-27
6.950243e+01	7.316261e-27
6.966265e+01	7.348383e-27
6.982324e+01	7.380570e-27
6.998420e+01	7.412825e-27
7.014553e+01	7.447155e-27
7.030723e+01	7.479533e-27
7.046931e+01	7.511978e-27
7.063176e+01	7.544489e-27
7.079458e+01	7.577069e-27
7.095778e+01	7.611756e-27
7.112135e+01	7.644474e-27
7.128530e+01	7.679309e-27
7.144963e+01	7.712164e-27
7.161434e+01	7.745088e-27
7.177943e+01	7.780142e-27
7.194490e+01	7.813205e-27
7.211075e+01	7.848408e-27
7.227698e+01	7.883687e-27
7.244360e+01	7.916963e-27
